datetime_local,epsilon,fd,hour_cos,hour_sin,month_cos,month_sin,p_noct,p_ref_dc,poa,regimen_fd,relative_error,temperature,wind_speed,epsilon_hat_sin_fd,p_hybrid_sin_fd,epsilon_hat_con_fd,p_hybrid_con_fd
2021-05-27 10:00:00,-4.499889843232509,1.0,-0.8660254037844387,0.49999999999999994,-0.4999999999999998,0.8660254037844387,99.1838898432325,94.684,110.107,alta_fd,0.0475253458158982,9.7,6.2,-3.6127727,95.57111714006173,-3.3708827,95.81300709367501
2021-05-27 11:00:00,-5.583889011999972,1.0,-0.9659258262890682,0.258819045102521,-0.4999999999999998,0.8660254037844387,126.32788901199996,120.744,140.92,alta_fd,0.0462456851851849,10.0,4.1,-5.3844504,120.94343857636153,-5.324783,121.0031061636418
2021-05-27 12:00:00,-6.103780742929985,1.0,-1.0,1.2246467991473532e-16,-0.4999999999999998,0.8660254037844387,137.73678074293,131.633,153.886,alta_fd,0.0463696849796782,10.0,3.6,-5.60049,132.1362906496988,-5.600828,132.13595257215363
2021-05-27 13:00:00,-6.1809862033125,1.0,-0.9659258262890683,-0.2588190451025208,-0.4999999999999998,0.8660254037844387,132.6399862033125,126.459,147.915,alta_fd,0.0488773926989182,9.7,2.6,-6.094875,126.5451113444563,-6.1386046,126.50138156235181
2021-05-27 14:00:00,-5.613252953119982,1.0,-0.8660254037844388,-0.4999999999999997,-0.4999999999999998,0.8660254037844387,109.62225295311998,104.009,122.008,alta_fd,0.0539689157007564,10.0,1.5,-5.3748827,104.2473702550609,-5.4646506,104.15760232216905
2021-05-27 15:00:00,-4.305419792312506,1.0,-0.7071067811865479,-0.7071067811865471,-0.4999999999999998,0.8660254037844387,73.49641979231251,69.191,81.405,alta_fd,0.0622251418871313,10.0,1.0,-4.4112825,69.08513725294483,-4.1046767,69.39174306883228
2021-05-27 16:00:00,-2.9212035795925004,1.0,-0.5000000000000004,-0.8660254037844385,-0.4999999999999998,0.8660254037844387,31.7692035795925,28.848,35.021,alta_fd,,10.2,0.5,-3.9749687,27.794234907793793,-4.154447,27.614756500887665
2021-05-28 08:00:00,-3.590932352930004,1.0,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.8660254037844387,36.68593235293,33.095,39.386,alta_fd,,3.0,1.0,-3.2643764,33.42155595102876,-3.1867182,33.49921412745088
2021-05-28 09:00:00,-4.172154209170003,0.7954136283650827,-0.7071067811865475,0.7071067811865476,-0.4999999999999998,0.8660254037844387,195.30115420917,191.129,214.818,alta_fd,0.0218289961710154,4.0,0.5,-5.9457064,189.35544784167732,-6.0767965,189.22435767749275
2021-05-28 10:00:00,-5.5816374973124425,0.570608798238141,-0.8660254037844387,0.49999999999999994,-0.4999999999999998,0.8660254037844387,377.48463749731246,371.903,431.845,mixto,0.0150083153330638,7.4,0.5,-6.1010575,371.383579967863,-6.638213,370.84642433965865
2021-05-28 11:00:00,-5.290150686930076,0.5918197499034313,-0.9659258262890682,0.258819045102521,-0.4999999999999998,0.8660254037844387,437.7661506869301,432.476,513.214,mixto,0.0122322410652384,11.0,1.0,-5.7605047,432.00564596433486,-6.467257,431.2988936640724
2021-05-28 12:00:00,-11.000089794530028,0.5699887163160817,-1.0,1.2246467991473532e-16,-0.4999999999999998,0.8660254037844387,448.20808979453005,437.208,533.254,mixto,0.0251598547934393,14.0,0.5,-9.915838,438.2922515529529,-9.904304,438.30378624380984
2021-05-28 13:00:00,-14.67629369731253,0.6831918126795792,-0.9659258262890683,-0.2588190451025208,-0.4999999999999998,0.8660254037844387,385.0342936973125,370.358,456.805,mixto,0.0396273165351161,15.7,0.0,-14.308816,370.72547774119676,-14.316468,370.7178254584819
2021-05-28 14:00:00,-3.5671114031924844,0.7449458387506979,-0.8660254037844388,-0.4999999999999997,-0.4999999999999998,0.8660254037844387,297.9991114031925,294.432,349.181,alta_fd,0.0121152300130165,16.0,1.5,-4.289479,293.7096326243534,-4.853003,293.14610837813757
